City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,la ronge,55.1001,-105.2842,-27.15,68,0,8.05,CA,1675351189
109,port augusta,-32.5,137.7667,61.3,51,3,15.68,AU,1675351189
110,georgetown,5.4112,100.3354,78.73,94,40,3.44,MY,1675351189
111,adrar,20.5022,-10.0711,75.83,9,8,14.45,MR,1675351190
112,ucluelet,48.9329,-125.5528,43.11,90,100,1.01,CA,1675351190
113,soligalich,59.0778,42.2864,23.76,97,99,4.56,RU,1675351190
114,rutana,-3.8667,30.1,59.9,90,98,2.77,BI,1675351191
115,luang prabang,19.8856,102.1347,70.3,46,36,1.63,LA,1675351191
116,arlit,18.7369,7.3853,89.33,6,22,5.28,NE,1675351191
117,lethem,3.3803,-59.7968,85.86,47,94,10.22,GY,1675351192
118,bardiyah,31.7561,25.0865,58.26,49,74,8.43,LY,1675351192
119,piney green,34.716,-77.3202,39.92,100,100,6.91,US,1675351192
120,sorland,67.667,12.6934,35.46,80,75,17.27,NO,1675351193
121,tuktoyaktuk,69.4541,-133.0374,-34.6,74,100,4.61,CA,1675351193
122,asyut,27.181,31.1837,61.99,30,0,10.96,EG,1675351183
123,avarua,-21.2078,-159.775,77.05,100,40,10.36,CK,1675351194
124,lagoa,39.05,-27.9833,57.24,73,9,16.15,PT,1675351195
125,tasiilaq,65.6145,-37.6368,23.16,60,100,35.41,GL,1675351195
126,barrow,71.2906,-156.7887,-5.78,84,100,14.97,US,1675351195
127,kanniyakumari,8.0833,77.5667,76.62,82,100,14.92,IN,1675351196
128,bela,25.9333,81.9833,58.78,48,0,5.99,IN,1675351196
129,port elizabeth,-33.918,25.5701,76.1,74,40,12.66,ZA,1675351197
130,prince rupert,54.3161,-130.3201,42.49,91,100,42.57,CA,1675351197
131,emborion,40.4833,21.55,50.36,58,55,8.28,GR,1675351197
132,gurlan,41.8447,60.3919,40.91,82,89,6.64,UZ,1675351198
133,batemans bay,-35.7167,150.1833,63.41,53,0,6.69,AU,1675351198
134,gravina in puglia,40.8197,16.4228,55.56,62,2,2.53,IT,1675351198
135,uusikaupunki,60.8004,21.4084,26.01,87,17,9.46,FI,1675351199
136,belyy yar,53.6039,91.3903,-7.71,84,35,2.24,RU,1675351199
137,aklavik,68.2191,-135.0107,-32.8,75,75,6.91,CA,1675351199
138,quang ngai,15.1167,108.8,72.66,95,57,0.45,VN,1675351200
139,beloha,-25.1667,45.05,75.97,73,67,16.62,MG,1675351200
140,victoria,22.2855,114.1577,66.38,80,81,15.01,HK,1675351052
141,ilulissat,69.2167,-51.1,5.02,56,75,2.3,GL,1675351201
142,bulgan,48.8125,103.5347,-2.16,89,33,4.41,MN,1675351202
143,narsaq,60.9167,-46.05,16.02,93,64,3.09,GL,1675351202
144,porosozero,62.7191,32.727,22.37,97,100,4.43,RU,1675351202
